Month,MRR,New Users,Active Users,Churned Users,Trials,Conversions (Paid),Conversion Rate,Churn Rate,Notes
2026-02,0,0,0,0,0,0,0%,0%,Pre-launch
2026-03,0,0,0,0,0,0,0%,0%,Launch month
2026-04,50,5,3,0,10,1,10%,0%,First paying customer
2026-05,100,8,6,0,15,2,13%,0%,
2026-06,150,12,10,1,20,3,15%,10%,
2026-07,225,18,15,2,30,5,17%,13%,
2026-08,300,25,22,3,40,7,18%,12%,
2026-09,400,35,32,4,50,10,20%,11%,Team plan launched
2026-10,525,48,45,5,65,13,20%,10%,
2026-11,675,62,58,6,80,16,20%,9%,
2026-12,1000,80,75,8,100,20,20%,10%,GOAL MET! ðŸŽ¯
